vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS VÁLIDOS,1932.0,70.67,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
VOTOS EN BLANCO,588.0,21.51,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
VOTOS NULOS,214.0,7.83,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
TOTAL DE VOTOS EMITIDOS,2734.0,100.0,010109,PERÚ,AMAZONAS,CHACHAPOYAS,LA JALCA
TOTAL DE VOTOS VÁLIDOS,1417.0,77.52,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
VOTOS EN BLANCO,322.0,17.61,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
VOTOS NULOS,89.0,4.87,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
TOTAL DE VOTOS EMITIDOS,1828.0,100.0,010110,PERÚ,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
TOTAL DE VOTOS VÁLIDOS,580.0,80.44,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
VOTOS EN BLANCO,112.0,15.53,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
VOTOS NULOS,29.0,4.02,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
TOTAL DE VOTOS EMITIDOS,721.0,100.0,010111,PERÚ,AMAZONAS,CHACHAPOYAS,LEVANTO
TOTAL DE VOTOS VÁLIDOS,441.0,80.92,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
VOTOS EN BLANCO,75.0,13.76,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
VOTOS NULOS,29.0,5.32,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
TOTAL DE VOTOS EMITIDOS,545.0,100.0,010112,PERÚ,AMAZONAS,CHACHAPOYAS,MAGDALENA
TOTAL DE VOTOS VÁLIDOS,447.0,72.8,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
VOTOS EN BLANCO,130.0,21.17,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
VOTOS NULOS,37.0,6.03,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
TOTAL DE VOTOS EMITIDOS,614.0,100.0,010113,PERÚ,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
TOTAL DE VOTOS VÁLIDOS,1026.0,78.38,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
VOTOS EN BLANCO,222.0,16.96,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
VOTOS NULOS,61.0,4.66,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
TOTAL DE VOTOS EMITIDOS,1309.0,100.0,010114,PERÚ,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
TOTAL DE VOTOS VÁLIDOS,391.0,81.63,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
VOTOS EN BLANCO,76.0,15.87,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
VOTOS NULOS,12.0,2.51,010115,PERÚ,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
