vote_type,votes,perc_emit,ubigeo,ambito,departamento,provincia,distrito
TOTAL DE VOTOS EMITIDOS,402.0,100.0,010119,PERÚ,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
TOTAL DE VOTOS VÁLIDOS,837.0,92.079,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
VOTOS EN BLANCO,12.0,1.32,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
VOTOS NULOS,60.0,6.601,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
TOTAL DE VOTOS EMITIDOS,909.0,100.0,010120,PERÚ,AMAZONAS,CHACHAPOYAS,SOLOCO
TOTAL DE VOTOS VÁLIDOS,190.0,96.447,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
VOTOS EN BLANCO,4.0,2.03,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
VOTOS NULOS,3.0,1.523,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
TOTAL DE VOTOS EMITIDOS,197.0,100.0,010121,PERÚ,AMAZONAS,CHACHAPOYAS,SONCHE
TOTAL DE VOTOS VÁLIDOS,9999.0,69.442,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
VOTOS EN BLANCO,237.0,1.646,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
VOTOS NULOS,4163.0,28.912,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
TOTAL DE VOTOS EMITIDOS,14399.0,100.0,010600,PERÚ,AMAZONAS,CONDORCANQUI,TODOS
TOTAL DE VOTOS VÁLIDOS,1964.0,58.21,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
VOTOS EN BLANCO,43.0,1.274,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
VOTOS NULOS,1367.0,40.516,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
TOTAL DE VOTOS EMITIDOS,3374.0,100.0,010603,PERÚ,AMAZONAS,CONDORCANQUI,EL CENEPA
TOTAL DE VOTOS VÁLIDOS,5011.0,67.753,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
VOTOS EN BLANCO,142.0,1.92,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
VOTOS NULOS,2243.0,30.327,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
TOTAL DE VOTOS EMITIDOS,7396.0,100.0,010601,PERÚ,AMAZONAS,CONDORCANQUI,NIEVA
TOTAL DE VOTOS VÁLIDOS,3024.0,83.329,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
VOTOS EN BLANCO,52.0,1.433,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
VOTOS NULOS,553.0,15.238,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
TOTAL DE VOTOS EMITIDOS,3629.0,100.0,010602,PERÚ,AMAZONAS,CONDORCANQUI,RIO SANTIAGO
TOTAL DE VOTOS VÁLIDOS,20388.0,92.867,010400,PERÚ,AMAZONAS,LUYA,TODOS
VOTOS EN BLANCO,362.0,1.649,010400,PERÚ,AMAZONAS,LUYA,TODOS
VOTOS NULOS,1204.0,5.484,010400,PERÚ,AMAZONAS,LUYA,TODOS
TOTAL DE VOTOS EMITIDOS,21954.0,100.0,010400,PERÚ,AMAZONAS,LUYA,TODOS
TOTAL DE VOTOS VÁLIDOS,2694.0,91.726,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
VOTOS EN BLANCO,66.0,2.247,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
VOTOS NULOS,177.0,6.027,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
TOTAL DE VOTOS EMITIDOS,2937.0,100.0,010402,PERÚ,AMAZONAS,LUYA,CAMPORREDONDO
TOTAL DE VOTOS VÁLIDOS,650.0,93.795,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
VOTOS EN BLANCO,14.0,2.02,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
VOTOS NULOS,29.0,4.185,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
TOTAL DE VOTOS EMITIDOS,693.0,100.0,010403,PERÚ,AMAZONAS,LUYA,COCABAMBA
TOTAL DE VOTOS VÁLIDOS,1117.0,91.482,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
VOTOS EN BLANCO,23.0,1.884,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
VOTOS NULOS,81.0,6.634,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
TOTAL DE VOTOS EMITIDOS,1221.0,100.0,010404,PERÚ,AMAZONAS,LUYA,COLCAMAR
TOTAL DE VOTOS VÁLIDOS,958.0,92.293,010405,PERÚ,AMAZONAS,LUYA,CONILA
VOTOS EN BLANCO,10.0,0.963,010405,PERÚ,AMAZONAS,LUYA,CONILA
VOTOS NULOS,70.0,6.744,010405,PERÚ,AMAZONAS,LUYA,CONILA
TOTAL DE VOTOS EMITIDOS,1038.0,100.0,010405,PERÚ,AMAZONAS,LUYA,CONILA
TOTAL DE VOTOS VÁLIDOS,372.0,97.895,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
VOTOS EN BLANCO,1.0,0.263,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
VOTOS NULOS,7.0,1.842,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
TOTAL DE VOTOS EMITIDOS,380.0,100.0,010406,PERÚ,AMAZONAS,LUYA,INGUILPATA
TOTAL DE VOTOS VÁLIDOS,1072.0,91.702,010401,PERÚ,AMAZONAS,LUYA,LAMUD
VOTOS EN BLANCO,17.0,1.454,010401,PERÚ,AMAZONAS,LUYA,LAMUD
VOTOS NULOS,80.0,6.843,010401,PERÚ,AMAZONAS,LUYA,LAMUD
TOTAL DE VOTOS EMITIDOS,1169.0,100.0,010401,PERÚ,AMAZONAS,LUYA,LAMUD
TOTAL DE VOTOS VÁLIDOS,529.0,97.243,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
VOTOS EN BLANCO,6.0,1.103,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
VOTOS NULOS,9.0,1.654,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
TOTAL DE VOTOS EMITIDOS,544.0,100.0,010407,PERÚ,AMAZONAS,LUYA,LONGUITA
TOTAL DE VOTOS VÁLIDOS,501.0,94.707,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
VOTOS EN BLANCO,6.0,1.134,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
VOTOS NULOS,22.0,4.159,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
TOTAL DE VOTOS EMITIDOS,529.0,100.0,010408,PERÚ,AMAZONAS,LUYA,LONYA CHICO
TOTAL DE VOTOS VÁLIDOS,1925.0,92.238,010409,PERÚ,AMAZONAS,LUYA,LUYA
VOTOS EN BLANCO,42.0,2.012,010409,PERÚ,AMAZONAS,LUYA,LUYA
VOTOS NULOS,120.0,5.75,010409,PERÚ,AMAZONAS,LUYA,LUYA
TOTAL DE VOTOS EMITIDOS,2087.0,100.0,010409,PERÚ,AMAZONAS,LUYA,LUYA
