party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PERUANOS POR EL KAMBIO ,370.0,45.067,42.045,010503,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO
FUERZA POPULAR ,451.0,54.933,51.25,010503,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO
PERUANOS POR EL KAMBIO ,263.0,58.315,55.136,010502,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL
FUERZA POPULAR ,188.0,41.685,39.413,010502,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL
PERUANOS POR EL KAMBIO ,777.0,49.271,46.864,010504,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO
FUERZA POPULAR ,800.0,50.729,48.251,010504,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO
PERUANOS POR EL KAMBIO ,557.0,63.152,60.022,010505,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA
FUERZA POPULAR ,325.0,36.848,35.022,010505,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA
PERUANOS POR EL KAMBIO ,541.0,60.787,56.354,010506,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
FUERZA POPULAR ,349.0,39.213,36.354,010506,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR
PERUANOS POR EL KAMBIO ,525.0,49.203,47.043,010508,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
FUERZA POPULAR ,542.0,50.797,48.566,010508,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES
PERUANOS POR EL KAMBIO ,212.0,59.218,54.78,010507,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
FUERZA POPULAR ,146.0,40.782,37.726,010507,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUCC
PERUANOS POR EL KAMBIO ,1531.0,49.902,46.848,010509,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
FUERZA POPULAR ,1537.0,50.098,47.032,010509,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA
PERUANOS POR EL KAMBIO ,1368.0,57.527,54.567,010501,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
FUERZA POPULAR ,1010.0,42.473,40.287,010501,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS
PERUANOS POR EL KAMBIO ,213.0,64.157,61.032,010510,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
FUERZA POPULAR ,119.0,35.843,34.097,010510,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA
PERUANOS POR EL KAMBIO ,156.0,57.565,54.93,010511,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
FUERZA POPULAR ,115.0,42.435,40.493,010511,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA
PERUANOS POR EL KAMBIO ,305.0,40.667,38.51,010512,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
FUERZA POPULAR ,445.0,59.333,56.187,010512,PERÚ,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE
PERUANOS POR EL KAMBIO ,20971.0,40.869,38.16,010700,PERÚ,AMAZONAS,UTCUBAMBA,TODOS
FUERZA POPULAR ,30342.0,59.131,55.211,010700,PERÚ,AMAZONAS,UTCUBAMBA,TODOS
PERUANOS POR EL KAMBIO ,9893.0,40.288,37.583,010701,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE
FUERZA POPULAR ,14663.0,59.712,55.704,010701,PERÚ,AMAZONAS,UTCUBAMBA,BAGUA GRANDE
PERUANOS POR EL KAMBIO ,4967.0,43.399,40.005,010702,PERÚ,AMAZONAS,UTCUBAMBA,CAJARURO
FUERZA POPULAR ,6478.0,56.601,52.175,010702,PERÚ,AMAZONAS,UTCUBAMBA,CAJARURO
PERUANOS POR EL KAMBIO ,1513.0,39.659,37.712,010703,PERÚ,AMAZONAS,UTCUBAMBA,CUMBA
FUERZA POPULAR ,2302.0,60.341,57.378,010703,PERÚ,AMAZONAS,UTCUBAMBA,CUMBA
PERUANOS POR EL KAMBIO ,896.0,34.515,32.347,010704,PERÚ,AMAZONAS,UTCUBAMBA,EL MILAGRO
FUERZA POPULAR ,1700.0,65.485,61.372,010704,PERÚ,AMAZONAS,UTCUBAMBA,EL MILAGRO
PERUANOS POR EL KAMBIO ,1264.0,39.962,38.015,010705,PERÚ,AMAZONAS,UTCUBAMBA,JAMALCA
FUERZA POPULAR ,1899.0,60.038,57.113,010705,PERÚ,AMAZONAS,UTCUBAMBA,JAMALCA
PERUANOS POR EL KAMBIO ,1742.0,41.635,38.832,010706,PERÚ,AMAZONAS,UTCUBAMBA,LONYA GRANDE
FUERZA POPULAR ,2442.0,58.365,54.436,010706,PERÚ,AMAZONAS,UTCUBAMBA,LONYA GRANDE
PERUANOS POR EL KAMBIO ,696.0,44.788,42.857,010707,PERÚ,AMAZONAS,UTCUBAMBA,YAMON
FUERZA POPULAR ,858.0,55.212,52.833,010707,PERÚ,AMAZONAS,UTCUBAMBA,YAMON
PERUANOS POR EL KAMBIO ,291002.0,48.857,45.288,020000,PERÚ,ANCASH,TODOS,TODOS
FUERZA POPULAR ,304623.0,51.143,47.407,020000,PERÚ,ANCASH,TODOS,TODOS
PERUANOS POR EL KAMBIO ,291002.0,48.857,45.288,,PERÚ,ANCASH,TODOS,TODOS
FUERZA POPULAR ,304623.0,51.143,47.407,,PERÚ,ANCASH,TODOS,TODOS
PERUANOS POR EL KAMBIO ,1820.0,45.083,42.663,020200,PERÚ,ANCASH,AIJA,TODOS
FUERZA POPULAR ,2217.0,54.917,51.969,020200,PERÚ,ANCASH,AIJA,TODOS
PERUANOS POR EL KAMBIO ,664.0,55.987,52.951,020201,PERÚ,ANCASH,AIJA,AIJA
FUERZA POPULAR ,522.0,44.013,41.627,020201,PERÚ,ANCASH,AIJA,AIJA
PERUANOS POR EL KAMBIO ,359.0,39.933,37.631,020203,PERÚ,ANCASH,AIJA,CORIS
FUERZA POPULAR ,540.0,60.067,56.604,020203,PERÚ,ANCASH,AIJA,CORIS
PERUANOS POR EL KAMBIO ,152.0,54.874,51.877,020205,PERÚ,ANCASH,AIJA,HUACLLAN
FUERZA POPULAR ,125.0,45.126,42.662,020205,PERÚ,ANCASH,AIJA,HUACLLAN
PERUANOS POR EL KAMBIO ,445.0,37.27,35.261,020206,PERÚ,ANCASH,AIJA,LA MERCED
FUERZA POPULAR ,749.0,62.73,59.35,020206,PERÚ,ANCASH,AIJA,LA MERCED
PERUANOS POR EL KAMBIO ,200.0,41.58,39.761,020208,PERÚ,ANCASH,AIJA,SUCCHA
FUERZA POPULAR ,281.0,58.42,55.865,020208,PERÚ,ANCASH,AIJA,SUCCHA
PERUANOS POR EL KAMBIO ,3696.0,64.717,57.516,021600,PERÚ,ANCASH,ANTONIO RAIMONDI,TODOS
FUERZA POPULAR ,2015.0,35.283,31.357,021600,PERÚ,ANCASH,ANTONIO RAIMONDI,TODOS
PERUANOS POR EL KAMBIO ,465.0,54.196,50.054,021602,PERÚ,ANCASH,ANTONIO RAIMONDI,ACZO
FUERZA POPULAR ,393.0,45.804,42.304,021602,PERÚ,ANCASH,ANTONIO RAIMONDI,ACZO
PERUANOS POR EL KAMBIO ,486.0,71.681,64.116,021603,PERÚ,ANCASH,ANTONIO RAIMONDI,CHACCHO
FUERZA POPULAR ,192.0,28.319,25.33,021603,PERÚ,ANCASH,ANTONIO RAIMONDI,CHACCHO
PERUANOS POR EL KAMBIO ,568.0,64.181,58.557,021604,PERÚ,ANCASH,ANTONIO RAIMONDI,CHINGAS
FUERZA POPULAR ,317.0,35.819,32.68,021604,PERÚ,ANCASH,ANTONIO RAIMONDI,CHINGAS
PERUANOS POR EL KAMBIO ,869.0,70.65,61.983,021601,PERÚ,ANCASH,ANTONIO RAIMONDI,LLAMELLIN
FUERZA POPULAR ,361.0,29.35,25.749,021601,PERÚ,ANCASH,ANTONIO RAIMONDI,LLAMELLIN
PERUANOS POR EL KAMBIO ,1054.0,64.982,56.394,021605,PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS
FUERZA POPULAR ,568.0,35.018,30.391,021605,PERÚ,ANCASH,ANTONIO RAIMONDI,MIRGAS
PERUANOS POR EL KAMBIO ,254.0,57.991,51.004,021606,PERÚ,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
FUERZA POPULAR ,184.0,42.009,36.948,021606,PERÚ,ANCASH,ANTONIO RAIMONDI,SAN JUAN DE RONTOY
PERUANOS POR EL KAMBIO ,1940.0,54.648,47.842,021800,PERÚ,ANCASH,ASUNCION,TODOS
FUERZA POPULAR ,1610.0,45.352,39.704,021800,PERÚ,ANCASH,ASUNCION,TODOS
PERUANOS POR EL KAMBIO ,801.0,56.171,48.05,021802,PERÚ,ANCASH,ASUNCION,ACOCHACA
FUERZA POPULAR ,625.0,43.829,37.493,021802,PERÚ,ANCASH,ASUNCION,ACOCHACA
PERUANOS POR EL KAMBIO ,1139.0,53.625,47.697,021801,PERÚ,ANCASH,ASUNCION,CHACAS
